year,race_name,driverRef,constructor_name,grid,qualifying_pos,grid_penalty,positionOrder,driver_points_pre_race,driver_pos_pre_race,driver_form,team_form,constructor_points_pre_race,top3,top10,DNF,pos_gain_loss,circuit_passability,driver_track_history,team_history
2023,Miami Grand Prix,stroll,Aston Martin,18,18,0,12,27.0,8.0,8.5503355704698,5.972562179234109,102.0,0,0,0,6,-1.15,10.0,11.943181818181818
2023,Miami Grand Prix,bottas,Alfa Romeo,10,10,0,13,4.0,12.0,14.711409395973153,14.69048559020924,6.0,0,0,0,-3,-1.15,7.0,13.21951219512195
2023,Miami Grand Prix,albon,Williams,11,11,0,14,1.0,17.0,15.01776549545993,15.238057639163047,1.0,0,0,0,-3,-1.15,9.0,14.699186991869919
2023,Miami Grand Prix,hulkenberg,Haas F1 Team,12,12,0,15,6.0,10.0,12.998420844848006,13.261744966442953,8.0,0,0,0,-3,-1.15,12.0,14.390243902439025
2023,Miami Grand Prix,zhou,Alfa Romeo,14,14,0,16,2.0,15.0,14.669561784445325,14.69048559020924,6.0,0,0,0,-2,-1.15,20.0,13.21951219512195
2023,Miami Grand Prix,norris,McLaren,16,16,0,17,10.0,9.0,10.801816028424794,11.48262929332807,14.0,0,0,0,-1,-1.15,19.0,10.74390243902439
2023,Miami Grand Prix,de_vries,AlphaTauri,15,15,0,18,0.0,20.0,16.64508487958942,13.48697196999605,2.0,0,0,0,-3,-1.15,12.0,11.926229508196721
2023,Miami Grand Prix,piastri,McLaren,19,19,0,19,4.0,11.0,12.163442558231344,11.48262929332807,14.0,0,0,0,0,-1.15,12.0,10.74390243902439
2023,Miami Grand Prix,sargeant,Williams,20,20,0,20,0.0,19.0,15.458349782866168,15.238057639163047,1.0,0,0,0,0,-1.15,12.0,14.699186991869919
2023,Monaco Grand Prix,max_verstappen,Red Bull,1,1,0,1,119.0,1.0,1.376113374923371,1.7650463380332482,224.0,1,1,0,0,0.0,4.4,6.686991869918699
2023,Monaco Grand Prix,alonso,Aston Martin,2,2,0,2,75.0,3.0,3.2524250838411883,6.523367350618441,102.0,1,1,0,0,0.0,13.333333333333334,11.943181818181818
2023,Monaco Grand Prix,ocon,Alpine F1 Team,3,4,-1,3,6.0,12.0,12.05358623922686,11.330947315278928,14.0,1,1,0,0,0.0,9.75,10.056818181818182
2023,Monaco Grand Prix,hamilton,Mercedes,5,6,-1,4,56.0,4.0,5.082939670404962,6.413075619342973,96.0,0,1,0,1,0.0,5.2,4.199186991869919
2023,Monaco Grand Prix,russell,Mercedes,8,8,0,5,40.0,6.0,7.7432115682809854,6.413075619342973,119.0,0,1,0,3,0.0,11.333333333333334,4.199186991869919
2023,Monaco Grand Prix,leclerc,Ferrari,6,3,3,6,34.0,7.0,9.326349572680392,7.800169485413435,78.0,0,1,0,0,0.0,15.5,6.703252032520325
2023,Monaco Grand Prix,gasly,Alpine F1 Team,7,7,0,7,8.0,10.0,10.608308391331002,11.330947315278928,35.0,0,1,0,0,0.0,7.25,10.056818181818182
2023,Monaco Grand Prix,sainz,Ferrari,4,5,-1,8,44.0,5.0,6.273989398146479,7.800169485413435,90.0,0,1,0,-4,0.0,5.2,6.703252032520325
2023,Monaco Grand Prix,norris,McLaren,10,10,0,9,10.0,9.0,13.03692618369334,13.83284050340774,14.0,0,1,0,1,0.0,6.666666666666667,10.74390243902439
2023,Monaco Grand Prix,piastri,McLaren,11,11,0,10,4.0,14.0,14.628754823122136,13.83284050340774,17.0,0,1,0,1,0.0,12.0,10.74390243902439
2023,Monaco Grand Prix,bottas,Alfa Romeo,15,15,0,11,4.0,13.0,14.094262738451553,14.621795102953374,6.0,0,0,0,4,0.0,8.0,13.21951219512195
2023,Monaco Grand Prix,de_vries,AlphaTauri,12,12,0,12,0.0,20.0,17.13367711225704,13.852277234863507,2.0,0,0,0,0,0.0,12.0,11.926229508196721
2023,Monaco Grand Prix,zhou,Alfa Romeo,19,19,0,13,2.0,15.0,15.149327467455194,14.621795102953374,6.0,0,0,0,6,0.0,16.0,13.21951219512195
2023,Monaco Grand Prix,albon,Williams,13,13,0,14,1.0,18.0,14.650751866142585,15.873426850816776,1.0,0,0,0,-1,0.0,13.0,14.699186991869919
2023,Monaco Grand Prix,tsunoda,AlphaTauri,9,9,0,15,2.0,16.0,10.570877357469978,13.852277234863507,2.0,0,0,0,-6,0.0,16.5,11.926229508196721
2023,Monaco Grand Prix,perez,Red Bull,20,20,0,16,105.0,2.0,2.153979301143125,1.7650463380332482,249.0,0,0,0,4,0.0,8.4,6.686991869918699
2023,Monaco Grand Prix,hulkenberg,Haas F1 Team,18,18,0,17,6.0,11.0,13.720204824925174,12.987054199271572,8.0,0,0,0,1,0.0,13.666666666666666,14.390243902439025
2023,Monaco Grand Prix,sargeant,Williams,16,16,0,18,0.0,19.0,17.096101835490966,15.873426850816776,1.0,0,0,0,-2,0.0,12.0,14.699186991869919
2023,Monaco Grand Prix,kevin_magnussen,Haas F1 Team,17,17,0,19,2.0,17.0,12.253903573617976,12.987054199271572,8.0,0,0,1,-2,0.0,14.25,14.390243902439025
2023,Monaco Grand Prix,stroll,Aston Martin,14,14,0,20,27.0,8.0,9.794309617395696,6.523367350618441,120.0,0,0,1,-6,0.0,14.0,11.943181818181818
